# قائمة القنوات
# إجمالي: 10959 قناة
#======================================================================
# الصيغة: الاسم | المجموعة | الرابط
#======================================================================

1. 00s Replay | Movies | https://jmp2.uk/plu-62ba60f059624e000781c436.m3u8
2. 4ever Cinema (1080p) | Movies | http://stream.mcquack.net/258/index.m3u8
3. 24 Hour Free Movies (720p) | Movies | https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8
4. 30A TV Classic Movies (720p) | Movies | https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8
5. 50 Cent Action (720p) | Movies;Series | https://jmp2.uk/plu-68487fb3f212bedacf5a53e3.m3u8
6. 70s Cinema | Movies | https://jmp2.uk/plu-5f4d878d3d19b30007d2e782.m3u8
7. 80s Rewind | Movies | https://jmp2.uk/plu-5ca525b650be2571e3943c63.m3u8
8. 90s Throwback | Movies | https://jmp2.uk/plu-5f4d86f519358a00072b978e.m3u8
9. 312 Kino (406p) | Movies | http://176.126.166.43:1935/live/312kino/playlist.m3u8
10. &TV HD (1080p) | Movies | http://202.70.146.135:8000/play/a06c/index.m3u8
11. &TV International (1080p) | Movies | https://amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv/playlist/amg01117-amg01117c1-amgplt0029/playlist.m3u8
12. &xplor HD (1080p) [Geo-blocked] | Movies | http://dksmedia.tv/play/live.php?mac=00:1A:79:B6:60:3D&stream=209743&extension=ts&play_token=mR7FwO88sY
13. ABN Bible Movies Channel (720p) | Movies;Religious | https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8
14. Action 24 (1080p) [Not 24/7] | Movies | http://actionlive.siliconweb.com/actionabr/actiontv/playlist.m3u8
15. Adrenalina Pura TV (720p) | Movies | https://jmp2.uk/plu-61b793ccf571b80007b7a610.m3u8
16. Adrenalina Pura TV Brazil | Movies | https://jmp2.uk/plu-61b790b985706b00072cb797.m3u8
17. Afghan Nobel Movies (720p) | Movies | https://live.relentlessinnovations.net:1936/afghannobel/afghannobel/playlist.m3u8
18. Aflam (1080p) | Movies | https://shd-amg-fast.edgenextcdn.net/tx001/playlist.m3u8
19. Afra Film | Movies | https://afrafhls.wns.live/hls/stream.m3u8
20. Alankar TV (720p) | Movies | https://livetv.tarangplus.in/alankar-origin/live/playlist.m3u8
21. All Time Movies (576p) | Movies | https://tvsen6.aynaott.com/a2cKGQtB/index.m3u8
22. Allo Cine (1080p) | Movies | https://d1yl6bf4hrzbr0.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-5km3zs4zs9sp0/allo.m3u8
23. alpha Cinema (1080p) | Comedy;Family;Movies | https://live.15plusmg.ru/memfs/b389173a-df4e-4171-8904-e249893e71eb.m3u8
24. AlternaTV (720p) [Not 24/7] | Culture;Documentary;Entertainment;General;Movies;Music | https://tv.alterna.ar/stream/hls/live.m3u8
25. AMC (United States) (720p) | Movies | http://23.239.31.26:8989/amc/index.m3u8
26. AMC (United States) East (720p) | Movies | http://190.11.225.124:5000/live/amc_hd/playlist.m3u8
27. AMC Europe Bulgary (576p) | Movies | http://hls127.freeott.top:8080/BG_AMC/video.m3u8
28. AMC Europe Czech Republic | Movies | http://88.212.15.19/live/test_amc_25p/playlist.m3u8
29. AMC Europe Hungary | Movies | http://88.212.15.19/live/amc_hun/index.m3u8
30. AMC Europe Romania | Movies | https://iron1.jarvisx1.cfd/amece/usergenrx3oq1kr.m3u8
31. AMC Latin America (1080p) | Movies | http://15.204.246.24:8080/AMCHD/index.m3u8
32. AMC Latin America Brazil (720p) | Movies | http://170.83.49.66:8083/AMCHD/index.m3u8
33. Amedia Hit (1080p) | Movies;Series | http://stream.mcquack.net/162/index.m3u8
34. Amedia Premium (720p) | Movies;Series | http://31.148.48.15/Amedia_Premium_HD/index.m3u8
35. American Horrors (480p) | Movies | http://107.167.7.162:8081/playlist/amhor/playlist.m3u8
